class,legacy_id,canonical_id,status,note
# PercepFlex naming alias table (v3, 2026-09-10) — legacy -> canonical, one direction only.
# status: renamed-2026-09-10 | renamed-2026-09-10-v3 | catalog-registered | task-specified
subphase,Phase 6 Round 1,Phase 6A,renamed-2026-09-10,round-number to letter-suffix
subphase,Phase 6 Round 2,Phase 6B,renamed-2026-09-10,round-number to letter-suffix
subphase,Round-1,Phase 6A,renamed-2026-09-10,hyphen form
subphase,Phase 6 Round-2,Phase 6B,renamed-2026-09-10,
hyp,H-A,H-22,renamed-2026-09-10,letter to global number (A=22 .. N=35)
hyp,H-B,H-23,renamed-2026-09-10,
hyp,H-C,H-24,renamed-2026-09-10,
hyp,H-D,H-25,renamed-2026-09-10,
hyp,H-E,H-26,renamed-2026-09-10,
hyp,H-F,H-27,renamed-2026-09-10,
hyp,H-G,H-28,renamed-2026-09-10,
hyp,H-H,H-29,renamed-2026-09-10,
hyp,H-I,H-30,renamed-2026-09-10,
hyp,H-J,H-31,renamed-2026-09-10,
hyp,H-K,H-32,renamed-2026-09-10,
hyp,H-L,H-33,renamed-2026-09-10,
hyp,H-M,H-34,renamed-2026-09-10,capacity-supervision coupling
hyp,H-N,H-35,renamed-2026-09-10,capacity is multi-dimensional
hyp,H1,H-01,renamed-2026-09-10-v3,Phase 1-5 hypotheses now in scope (user decision)
hyp,H2,H-02,renamed-2026-09-10-v3,
hyp,H3,H-03,renamed-2026-09-10-v3,
hyp,H4,H-04,renamed-2026-09-10-v3,
hyp,H5,H-05,renamed-2026-09-10-v3,
hyp,H5a,H-05a,renamed-2026-09-10-v3,sub-hypothesis suffix preserved
hyp,H5b,H-05b,renamed-2026-09-10-v3,highest-frequency legacy id
hyp,H5c,H-05c,renamed-2026-09-10-v3,
hyp,H6,H-06,renamed-2026-09-10-v3,
hyp,H6b,H-06b,renamed-2026-09-10-v3,
hyp,H7,H-07,renamed-2026-09-10-v3,
hyp,H7b,H-07b,renamed-2026-09-10-v3,
hyp,H8,H-08,renamed-2026-09-10-v3,
hyp,H9,H-09,renamed-2026-09-10-v3,
hyp,H10,H-10,renamed-2026-09-10-v3,
hyp,H11,H-11,renamed-2026-09-10-v3,
hyp,H11-alt,H-11-alt,renamed-2026-09-10-v3,-alt suffix preserved
hyp,H12,H-12,renamed-2026-09-10-v3,
hyp,H13,H-13,renamed-2026-09-10-v3,
hyp,H17,H-17,renamed-2026-09-10-v3,
hyp,H18,H-18,renamed-2026-09-10-v3,
hyp,H19,H-19,renamed-2026-09-10-v3,
hyp,H20,H-20,renamed-2026-09-10-v3,
hyp,H21,H-21,renamed-2026-09-10-v3,
exp,4B-2,P4B-EXP-02,renamed-2026-09-10-v3,slash form collapsed to hyphen
exp,4B-3,P4B-EXP-03,renamed-2026-09-10-v3,assignment/anchor experiment
exp,4B-4,P4B-EXP-04,renamed-2026-09-10-v3,
exp,4B-5,P4B-EXP-05,renamed-2026-09-10-v3,lane label widen
exp,4B-6,P4B-EXP-06,renamed-2026-09-10-v3,DA head 1/4
exp,P4B/EXP-02,P4B-EXP-02,renamed-2026-09-10-v3,slash form retired
exp,P4B/EXP-03,P4B-EXP-03,renamed-2026-09-10-v3,
exp,P4B/EXP-04,P4B-EXP-04,renamed-2026-09-10-v3,
exp,P4B/EXP-05,P4B-EXP-05,renamed-2026-09-10-v3,
exp,P4B/EXP-06,P4B-EXP-06,renamed-2026-09-10-v3,
exp,EXP-1,EXP-01,renamed-2026-09-10,zero-padded
exp,EXP-2,EXP-02,renamed-2026-09-10,
exp,EXP-3,EXP-03,renamed-2026-09-10,
exp,EXP-4,EXP-04,renamed-2026-09-10,
exp,EXP-5,EXP-05,renamed-2026-09-10,
exp,EXP-6,EXP-06,renamed-2026-09-10,
exp,EXP-7,EXP-07,renamed-2026-09-10,
exp,EXP-8,EXP-08,renamed-2026-09-10,
step,STEP1,P4B5-STEP1,renamed-2026-09-10-v3,Phase 4B->5 closure chain (danc seed1); bare form
