[stage A] ep 1 step 50/625 loss 0.9392 det 0.2013 da 0.3308 lane 0.4071 budget 0.0000  143ms/step
[stage A] ep 1 step 100/625 loss 0.7700 det 0.1885 da 0.2756 lane 0.3058 budget 0.0000  128ms/step
[stage A] ep 1 step 150/625 loss 0.6813 det 0.1803 da 0.2469 lane 0.2541 budget 0.0000  123ms/step
[stage A] ep 1 step 200/625 loss 0.6284 det 0.1738 da 0.2311 lane 0.2235 budget 0.0000  121ms/step
[stage A] ep 1 step 250/625 loss 0.5916 det 0.1686 da 0.2202 lane 0.2027 budget 0.0000  120ms/step
[stage A] ep 1 step 300/625 loss 0.5637 det 0.1647 da 0.2116 lane 0.1874 budget 0.0000  119ms/step
[stage A] ep 1 step 350/625 loss 0.5422 det 0.1616 da 0.2043 lane 0.1762 budget 0.0000  118ms/step
[stage A] ep 1 step 400/625 loss 0.5255 det 0.1592 da 0.1989 lane 0.1674 budget 0.0000  118ms/step
[stage A] ep 1 step 450/625 loss 0.5127 det 0.1571 da 0.1954 lane 0.1602 budget 0.0000  117ms/step
[stage A] ep 1 step 500/625 loss 0.5014 det 0.1553 da 0.1915 lane 0.1545 budget 0.0000  117ms/step
[stage A] ep 1 step 550/625 loss 0.4918 det 0.1539 da 0.1882 lane 0.1497 budget 0.0000  117ms/step
[stage A] ep 1 step 600/625 loss 0.4834 det 0.1526 da 0.1854 lane 0.1454 budget 0.0000  117ms/step
[stage A] ep 1 DONE avg_loss=0.4792 saved experiments/expF_single_teacher/no_kd_10k10/checkpoint.pt
[stage A] ep 2 step 50/625 loss 0.3792 det 0.1368 da 0.1452 lane 0.0972 budget 0.0000  122ms/step
[stage A] ep 2 step 100/625 loss 0.3773 det 0.1366 da 0.1441 lane 0.0966 budget 0.0000  118ms/step
[stage A] ep 2 step 150/625 loss 0.3730 det 0.1361 da 0.1417 lane 0.0952 budget 0.0000  116ms/step
[stage A] ep 2 step 200/625 loss 0.3711 det 0.1359 da 0.1408 lane 0.0944 budget 0.0000  116ms/step
[stage A] ep 2 step 250/625 loss 0.3713 det 0.1358 da 0.1411 lane 0.0944 budget 0.0000  116ms/step
[stage A] ep 2 step 300/625 loss 0.3704 det 0.1355 da 0.1408 lane 0.0941 budget 0.0000  115ms/step
[stage A] ep 2 step 350/625 loss 0.3685 det 0.1352 da 0.1396 lane 0.0937 budget 0.0000  115ms/step
[stage A] ep 2 step 400/625 loss 0.3675 det 0.1352 da 0.1389 lane 0.0934 budget 0.0000  115ms/step
[stage A] ep 2 step 450/625 loss 0.3661 det 0.1349 da 0.1379 lane 0.0933 budget 0.0000  115ms/step
[stage A] ep 2 step 500/625 loss 0.3653 det 0.1348 da 0.1374 lane 0.0931 budget 0.0000  115ms/step
[stage A] ep 2 step 550/625 loss 0.3639 det 0.1346 da 0.1365 lane 0.0929 budget 0.0000  116ms/step
[stage A] ep 2 step 600/625 loss 0.3624 det 0.1346 da 0.1353 lane 0.0926 budget 0.0000  116ms/step
[stage A] ep 2 DONE avg_loss=0.3620 saved experiments/expF_single_teacher/no_kd_10k10/checkpoint.pt
[stage A] ep 3 step 50/625 loss 0.3527 det 0.1338 da 0.1280 lane 0.0909 budget 0.0000  122ms/step
[stage A] ep 3 step 100/625 loss 0.3440 det 0.1318 da 0.1232 lane 0.0890 budget 0.0000  119ms/step
[stage A] ep 3 step 150/625 loss 0.3454 det 0.1315 da 0.1255 lane 0.0883 budget 0.0000  117ms/step
[stage A] ep 3 step 200/625 loss 0.3461 det 0.1312 da 0.1270 lane 0.0878 budget 0.0000  117ms/step
[stage A] ep 3 step 250/625 loss 0.3446 det 0.1310 da 0.1257 lane 0.0879 budget 0.0000  116ms/step
[stage A] ep 3 step 300/625 loss 0.3432 det 0.1309 da 0.1249 lane 0.0874 budget 0.0000  116ms/step
[stage A] ep 3 step 350/625 loss 0.3419 det 0.1309 da 0.1239 lane 0.0871 budget 0.0000  116ms/step
[stage A] ep 3 step 400/625 loss 0.3404 det 0.1308 da 0.1228 lane 0.0869 budget 0.0000  115ms/step
[stage A] ep 3 step 450/625 loss 0.3392 det 0.1308 da 0.1218 lane 0.0867 budget 0.0000  115ms/step
