[stage B] ep 1 step 50/4366 loss 0.2733 det 0.1152 da 0.0845 lane 0.0735 budget 0.0000  135ms/step
[stage B] ep 1 step 100/4366 loss 0.2523 det 0.1124 da 0.0737 lane 0.0662 budget 0.0000  120ms/step
[stage B] ep 1 step 150/4366 loss 0.2462 det 0.1109 da 0.0710 lane 0.0643 budget 0.0000  116ms/step
[stage B] ep 1 step 200/4366 loss 0.2428 det 0.1104 da 0.0693 lane 0.0631 budget 0.0000  113ms/step
[stage B] ep 1 step 250/4366 loss 0.2407 det 0.1098 da 0.0684 lane 0.0625 budget 0.0000  112ms/step
[stage B] ep 1 step 300/4366 loss 0.2390 det 0.1096 da 0.0675 lane 0.0619 budget 0.0000  111ms/step
[stage B] ep 1 step 350/4366 loss 0.2378 det 0.1094 da 0.0673 lane 0.0612 budget 0.0000  111ms/step
[stage B] ep 1 step 400/4366 loss 0.2365 det 0.1091 da 0.0665 lane 0.0609 budget 0.0000  110ms/step
[stage B] ep 1 step 450/4366 loss 0.2350 det 0.1089 da 0.0657 lane 0.0604 budget 0.0000  110ms/step
[stage B] ep 1 step 500/4366 loss 0.2340 det 0.1088 da 0.0652 lane 0.0600 budget 0.0000  110ms/step
[stage B] ep 1 step 550/4366 loss 0.2331 det 0.1086 da 0.0647 lane 0.0598 budget 0.0000  110ms/step
[stage B] ep 1 step 600/4366 loss 0.2327 det 0.1085 da 0.0647 lane 0.0595 budget 0.0000  109ms/step
[stage B] ep 1 step 650/4366 loss 0.2325 det 0.1084 da 0.0647 lane 0.0595 budget 0.0000  109ms/step
[stage B] ep 1 step 700/4366 loss 0.2323 det 0.1083 da 0.0647 lane 0.0593 budget 0.0000  109ms/step
[stage B] ep 1 step 750/4366 loss 0.2320 det 0.1082 da 0.0646 lane 0.0593 budget 0.0000  109ms/step
[stage B] ep 1 step 800/4366 loss 0.2314 det 0.1081 da 0.0642 lane 0.0591 budget 0.0000  109ms/step
[stage B] ep 1 step 850/4366 loss 0.2312 det 0.1080 da 0.0641 lane 0.0591 budget 0.0000  109ms/step
[stage B] ep 1 step 900/4366 loss 0.2308 det 0.1079 da 0.0638 lane 0.0590 budget 0.0000  109ms/step
[stage B] ep 1 step 950/4366 loss 0.2307 det 0.1080 da 0.0637 lane 0.0590 budget 0.0000  109ms/step
[stage B] ep 1 step 1000/4366 loss 0.2303 det 0.1078 da 0.0635 lane 0.0590 budget 0.0000  109ms/step
