[train] init from experiments/expI_kd_dynamic/fairD_C/checkpoint.pt: loaded 261/261 keys missing=0 unexpected=0
[train] stage=D adaptive=True params=0.235M
/home/mycode/ai_study/trac/training/train.py:138: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  running[k] = running.get(k, 0.0) + float(v)
[stage D] ep 1 step 50/4366 loss 0.6122 det 0.1075 da 0.0598 lane 0.0583 budget 0.3867  173ms/step
[stage D] ep 1 step 100/4366 loss 0.4893 det 0.1103 da 0.0616 lane 0.0575 budget 0.2599  158ms/step
[stage D] ep 1 step 150/4366 loss 0.4089 det 0.1115 da 0.0633 lane 0.0585 budget 0.1756  154ms/step
[stage D] ep 1 step 200/4366 loss 0.3658 det 0.1119 da 0.0634 lane 0.0588 budget 0.1318  151ms/step
[stage D] ep 1 step 250/4366 loss 0.3399 det 0.1116 da 0.0636 lane 0.0591 budget 0.1057  149ms/step
[stage D] ep 1 step 300/4366 loss 0.3221 det 0.1115 da 0.0635 lane 0.0590 budget 0.0882  148ms/step
[stage D] ep 1 step 350/4366 loss 0.3094 det 0.1113 da 0.0637 lane 0.0587 budget 0.0757  148ms/step
[stage D] ep 1 step 400/4366 loss 0.2993 det 0.1109 da 0.0634 lane 0.0587 budget 0.0663  147ms/step
[stage D] ep 1 step 450/4366 loss 0.2909 det 0.1107 da 0.0629 lane 0.0584 budget 0.0590  147ms/step
[stage D] ep 1 step 500/4366 loss 0.2844 det 0.1105 da 0.0625 lane 0.0582 budget 0.0532  147ms/step
[stage D] ep 1 step 550/4366 loss 0.2790 det 0.1102 da 0.0623 lane 0.0581 budget 0.0484  147ms/step
[stage D] ep 1 step 600/4366 loss 0.2749 det 0.1100 da 0.0624 lane 0.0580 budget 0.0444  146ms/step
[stage D] ep 1 step 650/4366 loss 0.2715 det 0.1098 da 0.0625 lane 0.0581 budget 0.0410  146ms/step
[stage D] ep 1 step 700/4366 loss 0.2686 det 0.1097 da 0.0627 lane 0.0580 budget 0.0381  146ms/step
[stage D] ep 1 step 750/4366 loss 0.2660 det 0.1095 da 0.0627 lane 0.0581 budget 0.0356  146ms/step
[stage D] ep 1 step 800/4366 loss 0.2632 det 0.1094 da 0.0624 lane 0.0580 budget 0.0334  146ms/step
[stage D] ep 1 step 850/4366 loss 0.2611 det 0.1092 da 0.0623 lane 0.0580 budget 0.0315  146ms/step
[stage D] ep 1 step 900/4366 loss 0.2591 det 0.1091 da 0.0621 lane 0.0580 budget 0.0298  146ms/step
[stage D] ep 1 step 950/4366 loss 0.2575 det 0.1091 da 0.0621 lane 0.0580 budget 0.0283  146ms/step
[stage D] ep 1 step 1000/4366 loss 0.2559 det 0.1089 da 0.0620 lane 0.0580 budget 0.0269  146ms/step
[stage D] ep 1 step 1050/4366 loss 0.2544 det 0.1089 da 0.0619 lane 0.0580 budget 0.0256  146ms/step
[stage D] ep 1 step 1100/4366 loss 0.2531 det 0.1088 da 0.0619 lane 0.0580 budget 0.0245  145ms/step
[stage D] ep 1 step 1150/4366 loss 0.2520 det 0.1087 da 0.0618 lane 0.0581 budget 0.0235  145ms/step
[stage D] ep 1 step 1200/4366 loss 0.2509 det 0.1086 da 0.0617 lane 0.0581 budget 0.0225  145ms/step
[stage D] ep 1 step 1250/4366 loss 0.2499 det 0.1086 da 0.0617 lane 0.0581 budget 0.0216  145ms/step
[stage D] ep 1 step 1300/4366 loss 0.2489 det 0.1085 da 0.0616 lane 0.0580 budget 0.0208  145ms/step
[stage D] ep 1 step 1350/4366 loss 0.2481 det 0.1085 da 0.0616 lane 0.0579 budget 0.0200  146ms/step
[stage D] ep 1 step 1400/4366 loss 0.2473 det 0.1084 da 0.0616 lane 0.0579 budget 0.0193  146ms/step
