frame,det,da,lane,w_det,w_da,w_lane
b1c66a42-6f7d68ca,0,0,0,0.25,0.25,0.25
b1c81faa-3df17267,0,0,0,0.25,0.25,0.25
b1c81faa-c80764c5,0,0,0,0.25,0.25,0.25
b1c9c847-3bda4659,2,2,2,1.0,1.0,1.0
b1ca2e5d-84cf9134,0,0,0,0.25,0.25,0.25
b1ca8418-84a133a0,0,0,0,0.25,0.25,0.25
b1cac6a7-04e33135,1,1,1,0.5,0.5,0.5
b1cd1e94-26dd524f,2,2,2,1.0,1.0,1.0
b1cd1e94-549d0bfe,0,0,0,0.25,0.25,0.25
b1ceb32e-3f481b43,2,2,2,1.0,1.0,1.0
b1ceb32e-51852abe,0,0,0,0.25,0.25,0.25
b1ceb32e-813f84b2,1,1,1,0.5,0.5,0.5
b1ceb32e-a106591d,1,1,1,0.5,0.5,0.5
b1cebfb7-284f5117,0,0,0,0.25,0.25,0.25
b1d0091f-75824d0d,0,0,0,0.25,0.25,0.25
b1d0091f-f2c2d2ae,0,0,0,0.25,0.25,0.25
b1d0a191-03dcecc2,0,0,0,0.25,0.25,0.25
b1d0a191-06deb55d,0,0,0,0.25,0.25,0.25
b1d0a191-28f0e779,0,0,0,0.25,0.25,0.25
b1d0a191-2ed2269e,0,0,0,0.25,0.25,0.25
b1d0a191-5490450b,0,0,0,0.25,0.25,0.25
b1d0a191-65deaeef,0,0,0,0.25,0.25,0.25
b1d0a191-de8948f6,1,1,1,0.5,0.5,0.5
b1d10d08-5b108225,2,2,2,1.0,1.0,1.0
b1d10d08-743fd86c,2,2,2,1.0,1.0,1.0
b1d10d08-c35503b8,1,1,1,0.5,0.5,0.5
b1d10d08-da110fcb,2,2,2,1.0,1.0,1.0
b1d10d08-ec660956,0,0,0,0.25,0.25,0.25
b1d22449-117aa773,0,0,0,0.25,0.25,0.25
b1d22449-15fb948f,2,2,2,1.0,1.0,1.0
b1d22ed6-f1cac061,2,2,2,1.0,1.0,1.0
b1d3907b-2278601b,1,1,1,0.5,0.5,0.5
b1d4b62c-60aab822,2,2,2,1.0,1.0,1.0
b1d4b62c-89eeb5d3,1,1,1,0.5,0.5,0.5
b1d4b62c-d9805029,0,0,0,0.25,0.25,0.25
b1d59b1f-a38aec79,1,1,1,0.5,0.5,0.5
b1d7b3ac-0bdb47dc,0,0,0,0.25,0.25,0.25
b1d7b3ac-2a92e19f,1,1,1,0.5,0.5,0.5
b1d7b3ac-36f2d3b7,2,2,2,1.0,1.0,1.0
b1d7b3ac-5744370e,0,0,0,0.25,0.25,0.25
b1d7b3ac-5af8623b,2,2,2,1.0,1.0,1.0
b1d7b3ac-995f9d8a,1,1,1,0.5,0.5,0.5
b1d7b3ac-9e14f05f,0,0,0,0.25,0.25,0.25
b1d7b3ac-afa57f22,0,0,0,0.25,0.25,0.25
b1d8735d-eee9f184,0,0,0,0.25,0.25,0.25
b1d968b9-563405f4,0,0,0,0.25,0.25,0.25
b1d968b9-ce42734f,1,1,1,0.5,0.5,0.5
b1d971b4-ac67ca0d,1,1,1,0.5,0.5,0.5
b1d9e136-6c94ea3f,1,1,1,0.5,0.5,0.5
b1d9e136-9ab25cb3,0,0,0,0.25,0.25,0.25
b1da9c53-0f3d4c5d,1,1,1,0.5,0.5,0.5
b1dac7f7-6b2e0382,1,1,1,0.5,0.5,0.5
b1db7e22-cfa74dc3,0,0,0,0.25,0.25,0.25
b1dce572-c6a8cb5e,1,1,1,0.5,0.5,0.5
b1dd58c1-8b546ba7,0,0,0,0.25,0.25,0.25
b1df722f-57d21f3f,0,0,0,0.25,0.25,0.25
b1df722f-5bcc3db7,0,0,0,0.25,0.25,0.25
b1e0c01d-dd9e6e2f,0,0,0,0.25,0.25,0.25
b1e1a7b8-0aec80e8,1,1,1,0.5,0.5,0.5
b1e1a7b8-65ec7612,2,2,2,1.0,1.0,1.0
b1e1a7b8-a7426a97,2,2,2,1.0,1.0,1.0
b1e1a7b8-b397c445,0,0,0,0.25,0.25,0.25
b1e2346e-c5f98707,1,1,1,0.5,0.5,0.5
b1e3e9f5-92377424,1,1,1,0.5,0.5,0.5
b1e62c91-eca210a9,1,1,1,0.5,0.5,0.5
b1e6efc0-2552cc5d,0,0,0,0.25,0.25,0.25
b1e88fd2-c1e4fd2b,0,0,0,0.25,0.25,0.25
b1e8ad72-c3c79240,0,0,0,0.25,0.25,0.25
b1e9ee0e-67e26f2e,1,1,1,0.5,0.5,0.5
b1ea0ae4-4f770228,1,1,1,0.5,0.5,0.5
b1eb9133-5cc75c18,0,0,0,0.25,0.25,0.25
b1ebfc3c-740ec84a,0,0,0,0.25,0.25,0.25
b1ebfc3c-cc9c2bb8,0,0,0,0.25,0.25,0.25
b1ee702d-0ae1fc10,1,1,1,0.5,0.5,0.5
b1ee702d-4a193906,2,2,2,1.0,1.0,1.0
b1ee702d-525fcebf,1,1,1,0.5,0.5,0.5
b1f022d3-3774de8b,0,0,0,0.25,0.25,0.25
b1f022d3-45162c67,0,0,0,0.25,0.25,0.25
b1f0efd9-37a14dda,0,0,0,0.25,0.25,0.25
b1f0efd9-e900c6e5,0,0,0,0.25,0.25,0.25
b1f20aa0-3401c3bf,2,2,2,1.0,1.0,1.0
b1f20aa0-50213047,0,0,0,0.25,0.25,0.25
b1f20aa0-6ef1db42,1,1,1,0.5,0.5,0.5
b1f25ff6-1ddb7e43,2,2,2,1.0,1.0,1.0
b1f4491b-07b32e8c,1,1,1,0.5,0.5,0.5
b1f4491b-09593e90,0,0,0,0.25,0.25,0.25
b1f4491b-16256d7c,1,1,1,0.5,0.5,0.5
b1f4491b-33824f31,0,0,0,0.25,0.25,0.25
b1f4491b-846d8cb2,1,1,1,0.5,0.5,0.5
b1f4491b-97465266,0,0,0,0.25,0.25,0.25
b1f4491b-9958bd99,0,0,0,0.25,0.25,0.25
b1f4491b-bf7d513f,0,0,0,0.25,0.25,0.25
b1f4491b-cf446195,0,0,0,0.25,0.25,0.25
b1f4491b-d8d1459c,0,0,0,0.25,0.25,0.25
b1f4491b-dd8dfed5,1,1,1,0.5,0.5,0.5
b1f62c41-ed0c6521,2,2,2,1.0,1.0,1.0
b1f6c103-5ce1f3c6,0,0,0,0.25,0.25,0.25
b1f6c103-8b75ea3e,0,0,0,0.25,0.25,0.25
b1f6c103-b00e8aad,1,1,1,0.5,0.5,0.5
b1f85377-44885085,1,1,1,0.5,0.5,0.5
b1fbaab8-68db7df7,2,2,2,1.0,1.0,1.0
b1fbf878-b31a8293,1,1,1,0.5,0.5,0.5
b1fc95c9-644e3c3f,2,2,2,1.0,1.0,1.0
b1fc95c9-cb2882c7,2,2,2,1.0,1.0,1.0
b1ff4656-0435391e,2,2,2,1.0,1.0,1.0
b1ff4656-94ee8536,0,0,0,0.25,0.25,0.25
b1ff4656-ebcfeb35,0,0,0,0.25,0.25,0.25
b200b84e-4a792877,1,1,1,0.5,0.5,0.5
b200e97a-bf074435,0,0,0,0.25,0.25,0.25
b20234fd-822029be,0,0,0,0.25,0.25,0.25
b202cae2-672e61c5,0,0,0,0.25,0.25,0.25
b202cae2-f46c74a6,2,2,2,1.0,1.0,1.0
b2036451-aa924fd1,0,0,0,0.25,0.25,0.25
b2046bcf-8bc6a044,0,0,0,0.25,0.25,0.25
b204a5c1-05981158,2,2,2,1.0,1.0,1.0
b204a5c1-064b0040,0,0,0,0.25,0.25,0.25
b204a5c1-fa3d5b88,0,0,0,0.25,0.25,0.25
b205eb4d-f84aaa1a,0,0,0,0.25,0.25,0.25
b2064e61-2beadd45,1,1,1,0.5,0.5,0.5
b206a78b-99f405ab,1,1,1,0.5,0.5,0.5
b2080dc7-f9b98a5f,1,1,1,0.5,0.5,0.5
b20841f9-cef732d5,0,0,0,0.25,0.25,0.25
b20b1e63-4d8478a4,0,0,0,0.25,0.25,0.25
