z,variant,det_ch,params_total,params_encoder,params_repr,params_det,params_da,params_lane
16,R0,32,188854,147776,4640,8406,14016,14016
16,R1,32,201366,147776,4640,20918,14016,14016
16,R2,32,201366,147776,4640,20918,14016,14016
32,R0,32,202710,147776,9280,8406,18624,18624
32,R1,32,214646,147776,9280,20342,18624,18624
32,R2,32,215734,147776,9280,21430,18624,18624
48,R0,32,216566,147776,13920,8406,23232,23232
48,R1,32,230102,147776,13920,21942,23232,23232
48,R2,32,230102,147776,13920,21942,23232,23232
64,R0,32,230422,147776,18560,8406,27840,27840
64,R1,32,244470,147776,18560,22454,27840,27840
64,R2,32,244470,147776,18560,22454,27840,27840
96,R0,32,258134,147776,27840,8406,37056,37056
96,R1,32,273206,147776,27840,23478,37056,37056
96,R2,32,273206,147776,27840,23478,37056,37056
128,R0,32,285846,147776,37120,8406,46272,46272
128,R1,32,301942,147776,37120,24502,46272,46272
128,R2,32,301942,147776,37120,24502,46272,46272
192,R0,32,341270,147776,55680,8406,64704,64704
192,R1,32,359414,147776,55680,26550,64704,64704
192,R2,32,359414,147776,55680,26550,64704,64704
256,R0,32,396694,147776,74240,8406,83136,83136
256,R1,32,416886,147776,74240,28598,83136,83136
256,R2,32,416886,147776,74240,28598,83136,83136
