z,epochs_configured,epoch,n_steps_logged,mean_loss,mean_det,mean_da,mean_lane,final_step_loss,epoch_done_avg_loss
16,10,1,438,0.414197,0.141633,0.157007,0.115558,0.3415,
16,10,2,438,0.281859,0.120094,0.090203,0.071565,0.2754,
16,10,3,438,0.259637,0.114469,0.078785,0.066384,0.2572,
16,10,4,438,0.249278,0.111794,0.073587,0.063903,0.2474,
16,10,5,438,0.241491,0.110225,0.069352,0.061916,0.2407,
16,10,6,438,0.237163,0.109295,0.066987,0.060875,0.2361,
16,10,7,438,0.233042,0.108156,0.065151,0.059732,0.2327,
16,10,8,438,0.23032,0.107427,0.063835,0.059065,0.2301,
16,10,9,438,0.227322,0.106859,0.062136,0.05833,0.2276,
16,10,10,438,0.225653,0.106364,0.061216,0.058088,0.2257,
16,10,10,,,,,,,0.2257
16,10,10,,,,,,,0.2257
16,20,1,438,0.415981,0.141509,0.158461,0.116014,0.3423,
16,20,2,438,0.280765,0.119878,0.089423,0.071464,0.2747,
16,20,3,438,0.259955,0.114815,0.078675,0.066462,0.2574,
16,20,4,438,0.249928,0.112065,0.073709,0.064155,0.2483,
16,20,5,438,0.242393,0.110471,0.069557,0.06236,0.2416,
16,20,6,438,0.237975,0.109493,0.067297,0.06118,0.237,
16,20,7,438,0.233489,0.108454,0.065069,0.059974,0.2336,
16,20,8,438,0.230844,0.107825,0.063736,0.059282,0.2308,
16,20,9,438,0.227841,0.107191,0.062164,0.058481,0.2284,
16,20,10,438,0.226296,0.10673,0.061253,0.058307,0.2269,
16,20,11,438,0.224365,0.106484,0.060451,0.057432,0.2247,
16,20,12,438,0.223667,0.106217,0.06014,0.057312,0.2235,
16,20,13,438,0.221416,0.10582,0.058723,0.056874,0.2219,
16,20,14,438,0.220297,0.105553,0.057959,0.056774,0.2207,
16,20,15,438,0.21956,0.105323,0.057772,0.056466,0.2196,
16,20,16,438,0.218681,0.104914,0.057355,0.056413,0.2187,
16,20,17,438,0.217726,0.104878,0.056728,0.05613,0.2178,
16,20,18,438,0.216844,0.104682,0.056137,0.056021,0.217,
16,20,19,438,0.215858,0.10449,0.056034,0.055337,0.2162,
16,20,20,438,0.215171,0.104421,0.055337,0.055414,0.2156,
16,20,20,,,,,,,0.2156
16,20,20,,,,,,,0.2156
32,10,1,438,0.432982,0.141957,0.16445,0.126578,0.3439,
32,10,2,438,0.27857,0.119841,0.088295,0.070438,0.2724,
32,10,3,438,0.257363,0.114579,0.077321,0.065463,0.2552,
32,10,4,438,0.24809,0.112058,0.072916,0.063111,0.2462,
32,10,5,438,0.241001,0.110495,0.069237,0.06127,0.2398,
32,10,6,438,0.236002,0.109416,0.066423,0.060167,0.2353,
32,10,7,438,0.232037,0.108362,0.064611,0.059055,0.2316,
32,10,8,438,0.229111,0.10754,0.063241,0.05834,0.2289,
32,10,9,438,0.226222,0.106889,0.061703,0.057631,0.2265,
32,10,10,438,0.224166,0.106278,0.060523,0.057363,0.2244,
32,10,10,,,,,,,0.2244
32,10,10,,,,,,,0.2244
32,20,1,438,0.433045,0.142189,0.164753,0.126097,0.3438,
32,20,2,438,0.278891,0.119574,0.088632,0.070684,0.2727,
32,20,3,438,0.257705,0.114269,0.07781,0.065627,0.2556,
32,20,4,438,0.248775,0.111822,0.073569,0.063382,0.2466,
32,20,5,438,0.241294,0.110225,0.069567,0.061511,0.2404,
32,20,6,438,0.236641,0.109218,0.066984,0.060432,0.2358,
32,20,7,438,0.232667,0.108211,0.065207,0.059248,0.2324,
32,20,8,438,0.230046,0.107373,0.064023,0.058642,0.2297,
32,20,9,438,0.226797,0.106863,0.062096,0.057826,0.2272,
32,20,10,438,0.224885,0.106381,0.060976,0.057535,0.2251,
32,20,11,438,0.222773,0.106094,0.060087,0.056583,0.2234,
32,20,12,438,0.221949,0.105829,0.059603,0.056521,0.2219,
32,20,13,438,0.219881,0.105442,0.058354,0.056085,0.2204,
32,20,14,438,0.218853,0.105209,0.057704,0.055948,0.2192,
32,20,15,438,0.218073,0.104876,0.057455,0.055744,0.2181,
32,20,16,438,0.21726,0.104525,0.057167,0.05558,0.2174,
32,20,17,438,0.216279,0.104423,0.056442,0.055402,0.2162,
32,20,18,438,0.215337,0.104165,0.05593,0.055245,0.2154,
32,20,19,438,0.214303,0.103989,0.055762,0.054547,0.2146,
32,20,20,438,0.21403,0.103955,0.055409,0.054663,0.2139,
32,20,20,,,,,,,0.2139
32,20,20,,,,,,,0.2139
128,10,1,438,0.417937,0.141579,0.159005,0.117355,0.3393,
128,10,2,438,0.277419,0.120493,0.08756,0.069362,0.2708,
128,10,3,438,0.255183,0.115015,0.076038,0.064127,0.253,
128,10,4,438,0.246094,0.112324,0.071875,0.061888,0.2441,
128,10,5,438,0.23865,0.110653,0.067926,0.060059,0.2376,
128,10,6,438,0.233676,0.109482,0.065193,0.058991,0.2327,
128,10,7,438,0.229745,0.108327,0.063564,0.057852,0.2293,
128,10,8,438,0.227016,0.107528,0.062294,0.057195,0.2269,
128,10,9,438,0.224106,0.106902,0.060808,0.056413,0.2243,
128,10,10,438,0.222181,0.106439,0.059561,0.056185,0.2225,
128,10,10,,,,,,,0.2224
128,10,10,,,,,,,0.2224
128,20,1,438,0.41599,0.141548,0.157785,0.116651,0.3377,
128,20,2,438,0.276113,0.120016,0.087087,0.069016,0.27,
128,20,3,438,0.255565,0.114642,0.076682,0.064241,0.253,
128,20,4,438,0.246081,0.112163,0.072042,0.061873,0.2442,
128,20,5,438,0.238913,0.110646,0.068182,0.060087,0.238,
128,20,6,438,0.23448,0.109653,0.065698,0.059135,0.2335,
128,20,7,438,0.230465,0.108492,0.064005,0.057966,0.2299,
128,20,8,438,0.227577,0.107628,0.06263,0.057313,0.2271,
128,20,9,438,0.224381,0.106931,0.060871,0.056572,0.2247,
128,20,10,438,0.222668,0.106372,0.059994,0.056307,0.2228,
128,20,11,438,0.220603,0.106051,0.059164,0.055384,0.2211,
128,20,12,438,0.219805,0.105737,0.058748,0.055323,0.2197,
128,20,13,438,0.217741,0.105367,0.0575,0.054878,0.2182,
128,20,14,438,0.216578,0.105075,0.056714,0.054784,0.2168,
128,20,15,438,0.21582,0.104757,0.056545,0.054524,0.2157,
128,20,16,438,0.214901,0.104365,0.056183,0.05435,0.2151,
128,20,17,438,0.213698,0.10433,0.055268,0.0541,0.214,
128,20,18,438,0.21283,0.104068,0.05478,0.053982,0.213,
128,20,19,438,0.211891,0.103874,0.054687,0.053328,0.2123,
128,20,20,438,0.211165,0.103844,0.053919,0.053399,0.2115,
128,20,20,,,,,,,0.2115
128,20,20,,,,,,,0.2115
