encoder,z,task,metric,delta_Z_vs_z16,delta_Z_esmall,interaction,noise_ref_phase2c,beyond_noise
ebase,32,detection,mAP50,+0.0018,+0.0123,-0.0105,0.0073,yes
ebase,32,detection,mAP50_95,+0.0009,+0.0078,-0.0069,0.0032,yes
ebase,32,DA,da_mIoU,-0.0037,+0.0033,-0.0070,0.0142,no
ebase,32,DA,da_fg,-0.0053,+0.0049,-0.0102,0.0202,no
ebase,32,lane,lane_mIoU,+0.0008,+0.0023,-0.0015,0.0021,no
ebase,32,lane,lane_fg,+0.0019,+0.0037,-0.0018,0.0032,no
ebase,128,detection,mAP50,-0.0043,-0.0048,+0.0005,0.0073,no
ebase,128,detection,mAP50_95,-0.0020,-0.0011,-0.0009,0.0032,no
ebase,128,DA,da_mIoU,-0.0042,+0.0067,-0.0109,0.0142,no
ebase,128,DA,da_fg,-0.0060,+0.0098,-0.0158,0.0202,no
ebase,128,lane,lane_mIoU,+0.0010,+0.0037,-0.0027,0.0021,yes
ebase,128,lane,lane_fg,+0.0032,+0.0070,-0.0038,0.0032,yes
elarge,32,detection,mAP50,-0.0091,+0.0123,-0.0214,0.0073,yes
elarge,32,detection,mAP50_95,-0.0048,+0.0078,-0.0126,0.0032,yes
elarge,32,DA,da_mIoU,-0.0043,+0.0033,-0.0076,0.0142,no
elarge,32,DA,da_fg,-0.0062,+0.0049,-0.0111,0.0202,no
elarge,32,lane,lane_mIoU,+0.0015,+0.0023,-0.0008,0.0021,no
elarge,32,lane,lane_fg,+0.0026,+0.0037,-0.0011,0.0032,no
elarge,128,detection,mAP50,-0.0149,-0.0048,-0.0101,0.0073,yes
elarge,128,detection,mAP50_95,-0.0085,-0.0011,-0.0074,0.0032,yes
elarge,128,DA,da_mIoU,-0.0014,+0.0067,-0.0081,0.0142,no
elarge,128,DA,da_fg,-0.0021,+0.0098,-0.0119,0.0202,no
elarge,128,lane,lane_mIoU,+0.0047,+0.0037,+0.0010,0.0021,no
elarge,128,lane,lane_fg,+0.0085,+0.0070,+0.0015,0.0032,no
