cell,encoder,z,params_M,flops_G,mAP50,mAP50_95,da_mIoU,da_fg,lane_mIoU,lane_fg,source
esmall_z16,esmall,16,0.1013,0.7218,0.2687,0.0890,0.8423,0.7515,0.5818,0.1885,trained
esmall_z32,esmall,32,0.1135,0.8522,0.2810,0.0968,0.8456,0.7564,0.5841,0.1922,trained
midL_z32,midL,32,0.1860,1.1603,0.3152,0.1109,0.8532,0.7676,0.5862,0.1972,trained
esmall_z128,esmall,128,0.1867,1.6350,0.2639,0.0879,0.8490,0.7613,0.5855,0.1955,trained
ebase_z16,ebase,16,0.1889,1.0597,0.3204,0.1149,0.8564,0.7723,0.5867,0.1973,reused:phase2d/expD_z16_e20
ebase_z32,ebase,32,0.2027,1.1973,0.3222,0.1158,0.8527,0.7670,0.5875,0.1992,trained
midM_z32,midM,32,0.2852,1.5249,0.3462,0.1279,0.8572,0.7737,0.5900,0.2037,trained
ebase_z128,ebase,128,0.2858,2.0231,0.3161,0.1129,0.8522,0.7663,0.5877,0.2005,trained
elarge_z16,elarge,16,0.2915,1.4279,0.3585,0.1356,0.8589,0.7761,0.5878,0.2000,trained
elarge_z32,elarge,32,0.3068,1.5709,0.3494,0.1308,0.8546,0.7699,0.5893,0.2026,trained
elarge_z128,elarge,128,0.3984,2.4292,0.3436,0.1271,0.8575,0.7740,0.5925,0.2085,trained
