cell,variant,band,da_fg_iou,blockfill_1over8_iou,iou_minus_blockfill,precision,recall,pred_over_gt_area,mixed_block_share,boundary_pixel_share,gt_pixel_share,n_valid_images,n_images
r0_z16,r0,far,0.7515,0.8508,-0.0993,0.7676,0.9747,1.361,0.03,0.0548,0.3388,285,300
r0_z16,r0,mid,0.873,0.9509,-0.078,0.8793,0.9898,1.1547,0.079,0.0183,0.3344,285,300
r0_z16,r0,near,0.7283,0.8487,-0.1204,0.7359,0.988,1.4438,0.0939,0.0539,0.3268,285,300
r0_z16,r0,all,0.7699,0.8801,-0.1103,0.7795,0.9841,1.3191,,,,285,300
r2_z16,r2,far,0.7377,0.8508,-0.1131,0.7475,0.981,1.4359,0.03,0.0548,0.3388,285,300
r2_z16,r2,mid,0.8549,0.9509,-0.096,0.8576,0.9945,1.2014,0.079,0.0183,0.3344,285,300
r2_z16,r2,near,0.72,0.8487,-0.1286,0.7259,0.9906,1.483,0.0939,0.0539,0.3268,285,300
r2_z16,r2,all,0.7555,0.8801,-0.1246,0.7615,0.9886,1.3729,,,,285,300
r2_z32,r2,far,0.7549,0.8508,-0.0959,0.7692,0.9796,1.3761,0.03,0.0548,0.3388,285,300
r2_z32,r2,mid,0.8654,0.9509,-0.0855,0.8708,0.9908,1.1714,0.079,0.0183,0.3344,285,300
r2_z32,r2,near,0.7321,0.8487,-0.1165,0.7398,0.9873,1.4204,0.0939,0.0539,0.3268,285,300
r2_z32,r2,all,0.7718,0.8801,-0.1084,0.7801,0.9859,1.3222,,,,285,300
r2_z128,r2,far,0.7483,0.8508,-0.1025,0.7564,0.9865,1.4207,0.03,0.0548,0.3388,285,300
r2_z128,r2,mid,0.8637,0.9509,-0.0872,0.8666,0.9952,1.1848,0.079,0.0183,0.3344,285,300
r2_z128,r2,near,0.7243,0.8487,-0.1244,0.7303,0.9904,1.4587,0.0939,0.0539,0.3268,285,300
r2_z128,r2,all,0.7648,0.8801,-0.1153,0.7702,0.9907,1.3542,,,,285,300
rw_z16,r2rw,far,0.7451,0.8508,-0.1057,0.7573,0.9786,1.4045,0.03,0.0548,0.3388,285,300
rw_z16,r2rw,mid,0.8619,0.9509,-0.089,0.8662,0.9922,1.1813,0.079,0.0183,0.3344,285,300
rw_z16,r2rw,near,0.7263,0.8487,-0.1223,0.7332,0.9887,1.4511,0.0939,0.0539,0.3268,285,300
rw_z16,r2rw,all,0.7632,0.8801,-0.1169,0.7708,0.9864,1.345,,,,285,300
rw_z32,r2rw,far,0.7569,0.8508,-0.0938,0.7684,0.9831,1.382,0.03,0.0548,0.3388,285,300
rw_z32,r2rw,mid,0.8682,0.9509,-0.0827,0.8717,0.995,1.1752,0.079,0.0183,0.3344,285,300
rw_z32,r2rw,near,0.7344,0.8487,-0.1143,0.7418,0.9873,1.4163,0.0939,0.0539,0.3268,285,300
rw_z32,r2rw,all,0.7739,0.8801,-0.1062,0.7812,0.9884,1.324,,,,285,300
