cell,variant,split,bucket,n_gt,recall_at50,mean_gt_area_px,mean_crowd_iou,mean_gt_per_image,n_pred_total,n_images
r0_z16,r0,size,small,2170,0.6442,269.1,0.0859,14.45,78243,300
r0_z16,r0,size,medium,752,0.9029,3145.6,0.0963,12.97,78243,300
r0_z16,r0,size,large,262,0.9504,22356.2,0.0637,10.98,78243,300
r0_z16,r0,position,upper,616,0.6494,1793.5,0.0883,14.75,78243,300
r0_z16,r0,position,middle,2435,0.7491,2833.1,0.0875,13.67,78243,300
r0_z16,r0,position,lower,133,0.7669,6038.7,0.0602,12.14,78243,300
r0_z16,r0,crowding,isolated,1609,0.6787,3109.2,0.0121,12.54,78243,300
r0_z16,r0,crowding,near,1412,0.7882,2454.4,0.1343,15.03,78243,300
r0_z16,r0,crowding,overlapping,163,0.7423,2075.1,0.4066,15.88,78243,300
r0_z16,r0,scene_density,sparse,239,0.7573,4274.5,0.0374,4.14,78243,300
r0_z16,r0,scene_density,medium,1711,0.7504,3340.8,0.0759,10.55,78243,300
r0_z16,r0,scene_density,dense,1234,0.6977,1676.6,0.1106,20.2,78243,300
r0_z16,r0,overall,all,3184,0.7305,2765.9,0.0865,13.81,78243,300
r2_z16,r2,size,small,2170,0.6622,269.1,0.0859,14.45,67454,300
r2_z16,r2,size,medium,752,0.9255,3145.6,0.0963,12.97,67454,300
r2_z16,r2,size,large,262,0.9618,22356.2,0.0637,10.98,67454,300
r2_z16,r2,position,upper,616,0.6705,1793.5,0.0883,14.75,67454,300
r2_z16,r2,position,middle,2435,0.7676,2833.1,0.0875,13.67,67454,300
r2_z16,r2,position,lower,133,0.7744,6038.7,0.0602,12.14,67454,300
r2_z16,r2,crowding,isolated,1609,0.7042,3109.2,0.0121,12.54,67454,300
r2_z16,r2,crowding,near,1412,0.7953,2454.4,0.1343,15.03,67454,300
r2_z16,r2,crowding,overlapping,163,0.7914,2075.1,0.4066,15.88,67454,300
r2_z16,r2,scene_density,sparse,239,0.7992,4274.5,0.0374,4.14,67454,300
r2_z16,r2,scene_density,medium,1711,0.7726,3340.8,0.0759,10.55,67454,300
r2_z16,r2,scene_density,dense,1234,0.7066,1676.6,0.1106,20.2,67454,300
r2_z16,r2,overall,all,3184,0.7491,2765.9,0.0865,13.81,67454,300
r2_z32,r2,size,small,2170,0.688,269.1,0.0859,14.45,65908,300
r2_z32,r2,size,medium,752,0.9202,3145.6,0.0963,12.97,65908,300
r2_z32,r2,size,large,262,0.958,22356.2,0.0637,10.98,65908,300
r2_z32,r2,position,upper,616,0.6899,1793.5,0.0883,14.75,65908,300
r2_z32,r2,position,middle,2435,0.7828,2833.1,0.0875,13.67,65908,300
r2_z32,r2,position,lower,133,0.7895,6038.7,0.0602,12.14,65908,300
r2_z32,r2,crowding,isolated,1609,0.7203,3109.2,0.0121,12.54,65908,300
r2_z32,r2,crowding,near,1412,0.813,2454.4,0.1343,15.03,65908,300
r2_z32,r2,crowding,overlapping,163,0.7914,2075.1,0.4066,15.88,65908,300
r2_z32,r2,scene_density,sparse,239,0.8243,4274.5,0.0374,4.14,65908,300
r2_z32,r2,scene_density,medium,1711,0.7791,3340.8,0.0759,10.55,65908,300
r2_z32,r2,scene_density,dense,1234,0.7342,1676.6,0.1106,20.2,65908,300
r2_z32,r2,overall,all,3184,0.7651,2765.9,0.0865,13.81,65908,300
r2_z128,r2,size,small,2170,0.6857,269.1,0.0859,14.45,62491,300
r2_z128,r2,size,medium,752,0.9229,3145.6,0.0963,12.97,62491,300
r2_z128,r2,size,large,262,0.9618,22356.2,0.0637,10.98,62491,300
r2_z128,r2,position,upper,616,0.6916,1793.5,0.0883,14.75,62491,300
r2_z128,r2,position,middle,2435,0.7803,2833.1,0.0875,13.67,62491,300
r2_z128,r2,position,lower,133,0.812,6038.7,0.0602,12.14,62491,300
r2_z128,r2,crowding,isolated,1609,0.7147,3109.2,0.0121,12.54,62491,300
r2_z128,r2,crowding,near,1412,0.8194,2454.4,0.1343,15.03,62491,300
r2_z128,r2,crowding,overlapping,163,0.7791,2075.1,0.4066,15.88,62491,300
r2_z128,r2,scene_density,sparse,239,0.795,4274.5,0.0374,4.14,62491,300
r2_z128,r2,scene_density,medium,1711,0.7832,3340.8,0.0759,10.55,62491,300
r2_z128,r2,scene_density,dense,1234,0.7326,1676.6,0.1106,20.2,62491,300
r2_z128,r2,overall,all,3184,0.7644,2765.9,0.0865,13.81,62491,300
