task,factor,out_res,hard_ceiling_fgiou,soft_ceiling_fgiou,bilinear_oracle_fgiou,oracle_threshold,precision,recall,pred_over_gt_area,gain_vs_1over8_hard,gain_vs_1over8_soft,erode1_survival,erode2_survival,erode3_survival,mean_gt_px_per_img,n_images
lane,1,640x640,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8147,0.788,0.0107,0.0007,0.0,2089.3,300
lane,2,320x320,0.5721,0.5724,0.3601,0.003,0.5721,1.0,1.7546,0.3868,0.3604,0.0107,0.0007,0.0,2089.3,300
lane,4,160x160,0.322,0.334,0.2612,0.048,0.322,1.0,3.142,0.1368,0.1219,0.0107,0.0007,0.0,2089.3,300
lane,8,80x80,0.1853,0.212,0.2023,0.092,0.1853,1.0,5.5224,0.0,0.0,0.0107,0.0007,0.0,2089.3,300
lane,16,40x40,0.1065,0.1422,0.148,0.091,0.1065,1.0,9.8214,-0.0788,-0.0698,0.0107,0.0007,0.0,2089.3,300
lane,32,20x20,0.0602,0.0935,0.1043,0.071,0.0602,1.0,18.1752,-0.1251,-0.1185,0.0107,0.0007,0.0,2089.3,300
da,1,640x640,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1247,0.0877,0.9558,0.9125,0.87,41464.9,300
da,2,320x320,0.9792,0.9799,0.9569,0.084,0.9792,1.0,1.0214,0.1039,0.0676,0.9558,0.9125,0.87,41464.9,300
da,4,160x160,0.941,0.9502,0.9399,0.251,0.941,1.0,1.0633,0.0657,0.0379,0.9558,0.9125,0.87,41464.9,300
da,8,80x80,0.8753,0.9123,0.9326,0.438,0.8753,1.0,1.145,0.0,0.0,0.9558,0.9125,0.87,41464.9,300
da,16,40x40,0.7745,0.864,0.9185,0.444,0.7745,1.0,1.3013,-0.1007,-0.0483,0.9558,0.9125,0.87,41464.9,300
da,32,20x20,0.6396,0.77,0.8862,0.418,0.6396,1.0,1.5929,-0.2357,-0.1422,0.9558,0.9125,0.87,41464.9,300
